Date,Category,Portfolio(if applicable),Security,Fund Name,Action,Transaction Type,Quantity,Price,Amount
03/21/2016,Roth 401(k),Aggressive Strategy,OAKWX,Oakmark Global Select I,Sell, Distribution of $345.57 from Aggressive Strategy - OAKWX Oakmark Global Select I (Normal) of $345.57 from Aggressive Strategy - OAKWX Oakmark Global Select I,(23.349000),$14.80,$(345.57)
03/21/2016,Employee Deferral,Aggressive Strategy,GABSX,Gabelli Small Cap Growth,Sell,Fee of $7.18 to Aggressive Strategy - GABSX Gabelli Small Cap Growth.,(0.156000),$46.14,$(7.18)
03/21/2016,Employee Deferral,Aggressive Strategy,AKREX,Akre Focus Fund Institutional Class,Sell,Fee of $3.53 to Aggressive Strategy - AKREX Akre Focus Fund Institutional Class.,(0.152000),$23.22,$(3.53)
03/21/2016,Employee Deferral,Aggressive Strategy,FCNTX,Fidelity Contrafund,Sell,Fee of $7.02 to Aggressive Strategy - FCNTX Fidelity Contrafund.,(0.073000),$95.92,$(7.02)
03/21/2016,Employee Deferral,Aggressive Strategy,SGENX,First Eagle Global Fund Class A,Sell,Fee of $3.54 to Aggressive Strategy - SGENX First Eagle Global Fund Class A.,(0.067000),$53.18,$(3.54)
03/21/2016,Employee Deferral,Aggressive Strategy,PRDGX,T Rowe Price Dividend Growth,Sell,Fee of $3.52 to Aggressive Strategy - PRDGX T Rowe Price Dividend Growth.,(0.101000),$34.81,$(3.52)
03/21/2016,Employee Deferral,Aggressive Strategy,PRCIX,T. Rowe Price New Income Fund,Sell,Fee of $6.78 to Aggressive Strategy - PRCIX T. Rowe Price New Income Fund.,(0.714000),$9.49,$(6.78)
03/21/2016,Employee Deferral,Aggressive Strategy,OAKWX,Oakmark Global Select I,Sell,Fee of $3.62 to Aggressive Strategy - OAKWX Oakmark Global Select I.,(0.245000),$14.80,$(3.62)
03/21/2016,Employer Match Subject to Vesting,Aggressive Strategy,GABSX,Gabelli Small Cap Growth,Sell,Fee of $2.27 to Aggressive Strategy - GABSX Gabelli Small Cap Growth.,(0.049000),$46.14,$(2.27)
03/21/2016,Employer Match Subject to Vesting,Aggressive Strategy,AKREX,Akre Focus Fund Institutional Class,Sell,Fee of $1.12 to Aggressive Strategy - AKREX Akre Focus Fund Institutional Class.,(0.048000),$23.22,$(1.12)
03/21/2016,Employer Match Subject to Vesting,Aggressive Strategy,FCNTX,Fidelity Contrafund,Sell,Fee of $2.22 to Aggressive Strategy - FCNTX Fidelity Contrafund.,(0.023000),$95.92,$(2.22)
03/21/2016,Employer Match Subject to Vesting,Aggressive Strategy,SGENX,First Eagle Global Fund Class A,Sell,Fee of $1.12 to Aggressive Strategy - SGENX First Eagle Global Fund Class A.,(0.021000),$53.18,$(1.12)
03/21/2016,Employer Match Subject to Vesting,Aggressive Strategy,PRDGX,T Rowe Price Dividend Growth,Sell,Fee of $1.11 to Aggressive Strategy - PRDGX T Rowe Price Dividend Growth.,(0.032000),$34.81,$(1.11)
03/21/2016,Employer Match Subject to Vesting,Aggressive Strategy,PRCIX,T. Rowe Price New Income Fund,Sell,Fee of $2.15 to Aggressive Strategy - PRCIX T. Rowe Price New Income Fund.,(0.227000),$9.49,$(2.15)
03/21/2016,Employer Match Subject to Vesting,Aggressive Strategy,OAKWX,Oakmark Global Select I,Sell,Fee of $1.15 to Aggressive Strategy - OAKWX Oakmark Global Select I.,(0.078000),$14.80,$(1.15)
03/21/2016,Roth 401(k),Aggressive Strategy,GABSX,Gabelli Small Cap Growth,Sell,Fee of $6.87 to Aggressive Strategy - GABSX Gabelli Small Cap Growth.,(0.149000),$46.14,$(6.87)
03/21/2016,Roth 401(k),Aggressive Strategy,AKREX,Akre Focus Fund Institutional Class,Sell,Fee of $3.38 to Aggressive Strategy - AKREX Akre Focus Fund Institutional Class.,(0.146000),$23.22,$(3.38)
03/21/2016,Roth 401(k),Aggressive Strategy,FCNTX,Fidelity Contrafund,Sell,Fee of $6.72 to Aggressive Strategy - FCNTX Fidelity Contrafund.,(0.070000),$95.92,$(6.72)
03/21/2016,Roth 401(k),Aggressive Strategy,SGENX,First Eagle Global Fund Class A,Sell,Fee of $3.39 to Aggressive Strategy - SGENX First Eagle Global Fund Class A.,(0.064000),$53.18,$(3.39)
03/21/2016,Roth 401(k),Aggressive Strategy,PRDGX,T Rowe Price Dividend Growth,Sell,Fee of $3.37 to Aggressive Strategy - PRDGX T Rowe Price Dividend Growth.,(0.097000),$34.81,$(3.37)
03/21/2016,Roth 401(k),Aggressive Strategy,PRCIX,T. Rowe Price New Income Fund,Sell,Fee of $6.48 to Aggressive Strategy - PRCIX T. Rowe Price New Income Fund.,(0.683000),$9.49,$(6.48)
03/21/2016,Roth 401(k),Aggressive Strategy,OAKWX,Oakmark Global Select I,Sell,Fee of $3.46 to Aggressive Strategy - OAKWX Oakmark Global Select I.,(0.234000),$14.80,$(3.46)
