POI,Participants,Money,Date,Country,lat,lng
Restaurant,28,"$43,055.65",8/26/2019,Hungary,47.4115468,18.880086
School,26,"$50,676.72",8/26/2019,South Korea,35.0160601,126.7107572
Hotel,29,"$41,138.67",4/6/2019,Peru,-13.6808577,-76.1580852
Hotel,21,"$79,258.80",9/18/2019,Indonesia,-6.9424923,111.5200007
Restaurant,15,"$11,447.51",8/27/2019,Czech Republic,49.3883262,17.0710865
Restaurant,25,"$45,794.33",5/30/2019,Japan,37.8909637,139.3167305
Hospital,16,"$13,022.47",9/4/2019,Madagascar,-20.6,48.33333
Restaurant,9,"$69,640.72",7/11/2019,Canada,48.5051169,-72.2292881
Hotel,11,"$49,027.83",7/14/2019,Philippines,11.5000501,123.0503762
Hospital,13,"$58,852.05",9/5/2019,China,30.501816,110.738098
Hospital,19,"$30,555.46",10/8/2019,Uruguay,-33.5339107,-58.2177722
Restaurant,4,"$45,143.12",6/14/2019,French Polynesia,-23.119901,-134.9702654
Hotel,16,"$73,269.52",1/5/2019,Philippines,9.9578348,124.1789637
Restaurant,16,"$49,877.78",5/5/2019,China,41.468342,115.437602
Hotel,28,"$17,130.11",8/14/2019,Canada,45.3151096,-72.661835
Hotel,27,"$6,690.43",1/7/2019,France,46.6121379,0.3379133
Restaurant,22,"$9,924.47",1/14/2019,Poland,50.1344867,18.6793794
School,4,"$76,657.11",8/25/2019,Indonesia,-6.7338751,111.3471022
School,12,"$71,017.85",5/29/2019,Ukraine,45.7327203,28.8115769
Restaurant,29,"$15,782.07",8/18/2019,Croatia,44.1509604,15.5846313
School,10,"$73,402.60",7/28/2019,China,43.236229,94.324152
Restaurant,3,"$59,309.18",12/12/2019,China,24.094765,116.00509
Hotel,23,"$57,232.56",4/22/2019,Trinidad and Tobago,11.1869803,-60.7301511
Restaurant,4,"$62,378.79",2/12/2019,China,31.982751,120.277138
School,1,"$47,700.69",7/6/2019,Indonesia,-7.0071351,105.5532993
Restaurant,18,"$76,829.82",9/8/2019,Tanzania,-8.9,34.583333
Restaurant,5,"$97,037.61",1/11/2019,Indonesia,-8.2631,113.8575
Hotel,3,"$33,026.23",6/29/2019,China,26.663449,105.770542
Hospital,25,"$41,467.03",10/3/2019,Philippines,14.347522,120.9245309
Hospital,2,"$56,408.59",11/25/2019,Peru,-11.1863289,-76.6481299
Restaurant,6,"$92,507.48",6/27/2019,Greece,40.83,21.581667
Hotel,9,"$97,289.68",12/19/2019,China,38.062428,114.645657
Hospital,10,"$29,264.96",3/4/2019,Indonesia,-9.6936,119.4562
Restaurant,19,"$65,960.56",7/17/2019,China,30.674362,107.803911
Hospital,22,"$62,809.43",3/24/2019,United States,41.8784851,-87.627893
School,8,"$6,164.62",1/10/2019,France,48.9105576,2.3645084
Restaurant,23,"$65,751.39",7/29/2019,Indonesia,-6.254778,106.842169
Hotel,15,"$37,435.29",4/23/2019,Syria,32.8881983,36.4824165
Hotel,30,"$18,754.88",4/17/2019,Philippines,14.3246136,120.8590469
Hotel,10,"$53,652.20",4/13/2019,China,31.220367,121.424624
Restaurant,28,"$11,891.12",9/27/2019,Indonesia,-7.8003628,110.0181673
Hospital,3,"$50,535.15",9/17/2019,Indonesia,-6.6047761,108.024301
School,5,"$69,585.08",11/19/2019,Japan,34.4981065,135.4073102
Hospital,20,"$36,508.36",10/26/2019,Indonesia,-6.5864219,106.7441048
Hotel,20,"$18,111.29",4/10/2019,Poland,50.1063169,22.3570583
Restaurant,7,"$85,963.14",6/17/2019,Sweden,59.3178128,18.0285502
Hospital,4,"$14,596.48",12/20/2019,Luxembourg,49.6875145,5.9122583
Hospital,13,"$83,565.16",6/27/2019,Russia,52.307093,85.0828553
Hotel,27,"$64,828.74",4/12/2019,Russia,56.213277,43.29085
Hotel,10,"$2,232.67",9/12/2019,Brazil,-10.7824056,-38.5761383
Restaurant,14,"$68,111.17",12/19/2019,Argentina,-42.7556675,-65.0598718
Restaurant,21,"$69,359.19",9/3/2019,Pakistan,27.0874729,67.7344167
Hospital,29,"$85,866.06",4/18/2019,Bangladesh,24.7266705,88.148657
Restaurant,12,"$54,304.60",4/7/2019,Latvia,56.4177803,21.8525134
Restaurant,18,"$9,610.89",7/23/2019,China,36.049805,-115.244096
Hospital,18,"$36,394.61",4/29/2019,Jordan,32.6434902,35.9396453
School,27,"$97,975.21",5/5/2019,Democratic Republic of the Congo,-6.0329665,26.9263671
Hotel,2,"$13,662.14",4/10/2019,Philippines,14.6110296,120.9962387
Restaurant,29,"$6,947.43",8/28/2019,Peru,-10.9965942,-76.3289941
Hospital,17,"$78,979.41",3/23/2019,China,38.520089,102.188043
Hospital,11,"$31,575.57",3/28/2019,Indonesia,-8.2446702,123.1428348
School,20,"$15,151.42",6/22/2019,Estonia,59.4294432,24.5475697
School,14,"$87,997.59",11/6/2019,Philippines,9.6840203,118.5427888
Restaurant,19,"$24,505.05",7/5/2019,Japan,37.9616862,140.8267396
Hospital,14,"$33,769.43",10/22/2019,France,48.0515029,6.535628
Hospital,1,"$36,743.89",11/24/2019,Serbia,45.8788922,20.5527173
Hotel,10,"$6,815.74",8/17/2019,Mexico,20.8965838,-105.4093552
School,27,"$1,809.40",11/26/2019,Austria,46.5919484,13.9234172
Hospital,24,"$38,367.01",5/4/2019,Canada,51.56668,-101.90093
School,6,"$76,904.99",4/14/2019,China,29.648686,109.864472
School,16,"$52,777.47",3/25/2019,Croatia,43.1839958,16.5992505
Restaurant,5,"$28,211.97",12/27/2019,Colombia,4.6889438,-75.777846
Hotel,6,"$98,882.47",6/23/2019,Indonesia,-7.04486,113.73422
Hotel,4,"$59,920.42",9/27/2019,Ukraine,48.4978938,30.9365392
Hotel,11,"$53,037.15",6/2/2019,China,24.745135,100.824707
Hotel,25,"$94,616.37",10/16/2019,Philippines,16.7690892,120.3353957
School,11,"$18,884.37",3/10/2019,Indonesia,-6.9828037,109.5568089
Hospital,15,"$85,090.87",2/14/2019,Croatia,44.7984547,14.8829285
School,14,"$62,077.20",2/9/2019,United States,37.7181398,-122.4863492
Hotel,2,"$51,491.14",1/6/2019,Dominican Republic,18.4489182,-69.9865207
Hospital,13,"$56,040.68",6/26/2019,Russia,53.8638922,34.4574753
Hotel,30,"$10,000.90",3/15/2019,China,46.774511,130.633035
School,16,"$24,911.98",12/5/2019,Philippines,14.5792342,120.9965883
Hotel,28,"$94,916.10",1/9/2019,Costa Rica,9.97788,-84.762933
School,27,"$93,189.11",4/12/2019,Ukraine,50.81667,27.03333
School,10,"$93,451.15",7/7/2019,China,39.978848,119.775799
Restaurant,14,"$9,201.40",1/17/2019,China,20.011946,110.201664
School,19,"$36,336.51",12/26/2019,Trinidad and Tobago,10.2995028,-61.175278
School,15,"$47,186.14",11/10/2019,Portugal,39.2586992,-9.3242373
Hospital,17,"$71,016.34",8/14/2019,Portugal,40.3356039,-7.883045
Hospital,19,"$25,308.68",7/8/2019,Russia,45.2697992,38.148163
Hotel,5,"$85,766.00",8/24/2019,China,24.9938893,110.4541138
Restaurant,15,"$17,258.12",3/3/2019,Serbia,43.5757545,21.331051
Hospital,29,"$63,883.18",8/10/2019,Palestinian Territory,32.38632,35.48084
Hotel,6,"$23,657.16",4/14/2019,Iceland,65.1474586,-13.6711979
School,3,"$5,538.53",5/30/2019,Indonesia,-6.4901067,106.8306951
Hotel,3,"$21,801.58",12/20/2019,Sweden,57.7385277,12.0633439
Restaurant,5,"$83,177.73",5/21/2019,Ukraine,48.9965372,29.7999327
Hospital,27,"$41,550.27",11/17/2019,Nigeria,9.2894242,12.2416715
Restaurant,7,"$24,501.19",3/19/2019,Indonesia,-7.9576278,111.3561103
Restaurant,16,"$71,205.42",3/3/2019,Albania,40.7163491,19.7502384
School,27,"$76,714.58",9/28/2019,Nigeria,5.3419104,6.6557943
Hospital,3,"$16,530.81",10/5/2019,Sweden,59.7394596,18.3595793
School,16,"$97,201.89",8/19/2019,Sierra Leone,8.9517713,-11.9783208
Hospital,6,"$80,956.17",11/17/2019,Honduras,14.8032838,-88.5975892
Restaurant,27,"$98,609.05",5/8/2019,Russia,56.0388248,37.2339179
Hospital,6,"$23,084.96",1/17/2019,Finland,67.9547288,23.6829386
Hospital,7,"$66,711.07",7/10/2019,Sweden,59.3729008,17.8567134
Restaurant,30,"$8,018.89",7/14/2019,Nigeria,6.0105192,6.9103455
Hotel,22,"$95,757.66",7/12/2019,Russia,59.7050314,30.451101
Hotel,17,"$59,573.74",8/7/2019,United States,38.9331391,-92.3738037
School,26,"$17,266.03",9/14/2019,Iran,37.3833017,55.5025595
Hotel,14,"$13,385.35",2/11/2019,Venezuela,9.9648655,-71.1329685
School,9,"$31,750.98",2/15/2019,Brazil,-21.35188,-46.4970116
Hospital,5,"$57,271.58",2/14/2019,Sweden,59.3125021,18.0760798
Restaurant,9,"$83,966.71",5/24/2019,Russia,54.11285,33.29648
School,17,"$7,412.13",12/21/2019,China,33.959385,119.563316
Restaurant,2,"$41,220.08",1/19/2019,Russia,60.722442,114.8315052
Restaurant,6,"$91,208.39",4/18/2019,Poland,50.222479,19.772052
School,9,"$68,819.18",9/8/2019,United Kingdom,55.8709949,-4.2494388
Hospital,1,"$57,675.68",3/17/2019,Yemen,16.9509413,43.7477743
Hotel,13,"$6,462.68",10/22/2019,China,41.880872,123.957208
Hotel,25,"$34,960.20",7/28/2019,Argentina,-34.6950382,-58.6575429
School,12,"$47,840.44",11/3/2019,Philippines,14.5024732,120.9921722
Hospital,18,"$18,111.77",3/5/2019,Brazil,-30.8493976,-51.8048311
Hospital,25,"$84,502.61",8/29/2019,Canada,45.8903748,-77.2672051
School,18,"$75,821.84",7/29/2019,Albania,40.9357866,20.2899237
Hospital,3,"$91,011.73",2/12/2019,China,40.827732,114.884994
School,25,"$77,022.79",6/8/2019,Philippines,14.6020624,121.0161088
Hospital,21,"$14,230.36",8/27/2019,Papua New Guinea,-6.2899253,145.859323
Restaurant,11,"$32,595.12",9/13/2019,Morocco,31.6891751,-4.9574947
Hotel,2,"$51,135.50",1/22/2019,Namibia,-22.3531369,16.1286901
Hospital,3,"$59,176.96",11/25/2019,Kuwait,29.1070609,48.1239894
School,14,"$78,790.07",11/21/2019,Finland,60.5717591,26.050814
Restaurant,24,"$80,093.05",4/7/2019,Chad,11.0630379,17.9324442
School,25,"$21,375.42",12/17/2019,Poland,52.2228424,17.2749897
Hospital,7,"$69,501.37",7/8/2019,China,39.635068,117.515189
Hospital,16,"$55,513.71",5/5/2019,Ecuador,-2.1709979,-79.9223592
School,14,"$85,930.30",9/22/2019,Philippines,9.9213559,124.4318122
Hospital,15,"$95,517.68",2/9/2019,Armenia,39.9716709,44.5352163
Restaurant,10,"$74,055.65",12/23/2019,China,32.993182,110.425983
Hospital,18,"$46,761.66",9/2/2019,Belarus,52.8066236,29.4258895
Hotel,1,"$94,345.56",2/2/2019,Ukraine,48.7192002,32.6770961
School,27,"$49,013.40",2/14/2019,Portugal,40.8157748,-8.489917
School,11,"$35,615.13",3/16/2019,Macedonia,41.9121057,22.4068944
Hotel,28,"$52,685.19",4/30/2019,Ukraine,50.5904776,30.4831983
Hotel,18,"$71,329.10",9/24/2019,Cyprus,34.8412176,32.4297369
School,8,"$79,931.03",3/31/2019,Madagascar,-23.3505295,47.5914122
Hotel,11,"$78,830.72",1/25/2019,Indonesia,3.706995,103.1024948
School,14,"$30,451.15",8/8/2019,Colombia,5.0792613,-75.4111644
School,1,"$13,096.04",2/16/2019,Indonesia,-6.7338751,111.3471022
Hospital,2,"$35,142.45",6/30/2019,Indonesia,-7.440509,110.5826261
Hospital,9,"$11,695.78",12/30/2019,Indonesia,-6.8527,115.2624
Hotel,29,"$67,005.59",7/17/2019,Brazil,-21.8324773,-46.8925845
Hospital,6,"$60,849.52",6/7/2019,Indonesia,52.804249,6.186692
Restaurant,28,"$58,876.02",7/22/2019,Philippines,7.3517838,122.2833466
Hospital,16,"$17,782.26",2/26/2019,Greece,37.9768245,23.7617382
Hospital,19,"$27,913.99",9/4/2019,Slovakia,48.1722347,17.2054874
Hospital,21,"$18,116.58",7/16/2019,Ukraine,48.5225505,23.5051414
School,24,"$30,354.31",9/13/2019,United Kingdom,52.382748,1.580316
School,29,"$23,062.37",5/8/2019,Botswana,-24.097317,25.0288051
School,27,"$66,835.70",4/30/2019,United States,30.319558,-95.4647953
School,29,"$44,060.86",12/3/2019,Indonesia,-6.8264662,106.6400362
Hospital,2,"$38,163.42",3/10/2019,China,30.172782,111.0765
Hotel,25,"$10,283.35",9/5/2019,Philippines,12.532252,124.870243
School,3,"$12,718.78",5/29/2019,China,36.684789,118.479654
Hospital,14,"$6,965.35",1/20/2019,China,37.0237497,120.5622121
Hotel,18,"$4,139.06",7/29/2019,Russia,59.9420078,30.2307225
Restaurant,1,"$31,735.43",8/6/2019,Indonesia,-8.3841,123.2415
Hotel,3,"$27,885.82",3/13/2019,Indonesia,-7.2914614,112.6109257
Hotel,12,"$22,430.36",5/7/2019,France,43.7786945,3.7264439
Restaurant,30,"$54,513.15",6/9/2019,Spain,28.1328796,-15.4393074
Hospital,15,"$2,410.89",3/10/2019,China,36.334104,113.228852
School,13,"$90,985.37",7/8/2019,Indonesia,-7.8848787,112.6722635
Restaurant,9,"$34,630.03",8/23/2019,China,37.026945,111.916711
School,1,"$89,376.58",2/17/2019,China,36.266505,114.797389
Hotel,15,"$33,836.59",5/3/2019,North Korea,40.9612198,129.3209986
Hospital,7,"$4,629.46",10/30/2019,China,39.9041999,116.4073963
Hotel,15,"$25,665.43",11/6/2019,China,36.187989,117.041581
Hospital,23,"$54,915.10",7/22/2019,Indonesia,-2.6488408,115.328206
Hospital,13,"$2,966.23",7/26/2019,China,30.93902,94.68908
School,28,"$79,757.38",1/31/2019,China,29.0994968,119.700816
School,18,"$45,157.86",6/2/2019,Palestinian Territory,31.5798898,35.0999042
Hospital,9,"$79,868.46",10/16/2019,Russia,54.8737338,83.000494
School,8,"$44,891.76",11/22/2019,Ethiopia,7.8570335,36.5823944
Restaurant,14,"$41,587.81",11/11/2019,Ukraine,48.3000957,39.7430006
Hospital,2,"$60,963.70",4/7/2019,Russia,51.0288293,59.8683611
Hotel,30,"$58,160.06",5/23/2019,China,28.1562239,113.6293358
Hospital,20,"$76,812.75",5/8/2019,China,-6.2140375,106.8311173
Hospital,3,"$59,423.70",11/3/2019,Philippines,10.9991938,122.6717828
School,22,"$35,885.51",11/22/2019,United Kingdom,52.300713,-1.6462357
Hospital,30,"$36,354.43",12/15/2019,Sweden,59.454973,13.7250925
Hospital,11,"$38,582.88",1/31/2019,China,48.1973404,16.3587247
Hotel,3,"$95,078.39",4/28/2019,China,32.562824,104.559168
School,9,"$37,834.82",6/27/2019,Philippines,9.0968475,118.0843002
Restaurant,28,"$37,526.06",7/30/2019,Japan,35.0725969,138.9363063
Restaurant,3,"$54,409.32",6/3/2019,Dominican Republic,19.343904,-70.291748
Hospital,5,"$52,517.82",5/21/2019,Sweden,59.3664053,17.8763622
School,20,"$11,791.27",7/23/2019,Philippines,13.928808,121.421617
School,5,"$80,504.85",8/13/2019,Philippines,17.9410217,120.5817801
School,17,"$64,794.34",11/20/2019,Philippines,13.2317498,123.7702587
Hospital,10,"$64,361.07",3/11/2019,Comoros,-11.4056968,43.3475695
Hospital,21,"$67,371.99",6/29/2019,Mexico,20.8965838,-105.4093552
Restaurant,20,"$85,915.48",6/18/2019,Saint Vincent and the Grenadines,13.2570942,-61.125756
Hotel,22,"$88,008.33",8/6/2019,Brazil,-8.9444808,-35.2807624
Hotel,7,"$99,851.04",12/6/2019,Canada,66.14511,-65.71252
School,6,"$96,490.98",2/8/2019,Kazakhstan,52.7572749,78.2041704
Hospital,15,"$46,818.38",2/13/2019,Philippines,8.2260557,124.2518415
Hospital,5,"$20,364.22",5/13/2019,Brazil,-17.3079902,-40.1862129
Restaurant,28,"$3,339.50",3/24/2019,United States,36.09,-79.83
Restaurant,21,"$12,360.26",2/24/2019,Russia,56.5948706,84.9077645
School,14,"$75,304.13",9/1/2019,Denmark,55.6885155,12.5873995
Hotel,15,"$1,087.14",1/26/2019,China,38.56077,114.250474
Hospital,23,$799.71,7/11/2019,China,29.528923,104.990101
Hospital,20,"$8,854.99",5/13/2019,Thailand,8.287423,100.1927389
Hospital,22,"$45,226.55",3/24/2019,Greece,40.3306084,21.7886602
Hospital,23,"$27,205.71",12/11/2019,Indonesia,-6.9899077,110.4098237
Hotel,24,"$15,984.58",9/26/2019,France,45.5423201,5.449605
Hospital,3,"$59,750.70",4/15/2019,Finland,63.6182729,22.7568858
Hospital,21,"$1,771.04",1/9/2019,Kazakhstan,51.1480274,71.4256221
Hotel,1,"$92,372.81",10/12/2019,Russia,55.8210459,38.0849522
School,9,"$47,542.26",4/20/2019,Russia,55.658365,37.615691
Hospital,25,"$14,542.18",4/6/2019,Japan,35.8232602,139.5521867
Hospital,8,"$70,788.49",11/19/2019,Sweden,59.7436995,18.3601496
Hotel,20,"$47,171.40",2/15/2019,Vietnam,10.6559243,107.2370874
School,3,"$2,400.40",8/21/2019,Guyana,43.6422125,-79.3744257
Hospital,3,"$3,865.01",4/27/2019,China,32.890479,115.814504
Hotel,22,"$48,880.27",7/5/2019,South Korea,37.7467263,126.4878731
Restaurant,19,"$57,805.57",6/1/2019,Portugal,41.6570939,-8.573081
School,2,"$6,704.53",11/25/2019,Thailand,16.7124054,98.5746649
Hospital,14,"$58,462.51",6/23/2019,China,30.334768,106.93038
Hotel,15,"$13,737.53",12/24/2019,Russia,61.7267327,75.333769
Restaurant,18,"$51,694.74",12/12/2019,Colombia,6.4360112,-73.28833
School,18,"$57,621.76",12/6/2019,Pakistan,30.3670619,68.5973259
School,4,"$33,489.62",7/8/2019,Sweden,63.2664676,18.6285484
Hospital,2,"$89,830.68",11/9/2019,Norway,69.63186,18.9221
Hotel,14,"$19,421.24",6/16/2019,Brazil,-31.575874,-53.3806553
Hotel,26,"$50,422.08",7/23/2019,Mexico,19.6786236,-101.1808488
Restaurant,17,"$82,749.55",11/26/2019,Vietnam,21.1241396,105.5939066
Hospital,12,"$32,633.61",10/14/2019,United States,30.5547139,-84.0801613
Hotel,18,"$83,408.75",9/23/2019,Portugal,40.9860764,-8.530048
Restaurant,16,"$5,218.40",6/16/2019,Uruguay,-34.858821,-56.0500846
Restaurant,25,"$68,960.75",7/14/2019,Pakistan,27.9687584,68.6404324
Hospital,5,"$46,186.69",8/6/2019,Dominican Republic,19.6594511,-71.5065631
Hospital,2,"$96,111.52",12/26/2019,Nigeria,6.1413122,6.8029489
Hotel,26,"$72,154.36",3/30/2019,Tanzania,-4.3822378,38.0605006
Restaurant,10,"$49,864.03",4/19/2019,Poland,52.0646474,21.4836639
Restaurant,20,"$20,924.83",6/11/2019,Colombia,4.54304,-74.878165
Hospital,23,"$94,273.76",2/6/2019,Indonesia,-2.688962,111.622398
Hotel,18,"$6,228.04",12/5/2019,China,23.405908,104.649387
Hospital,5,"$73,879.17",3/12/2019,Indonesia,-6.334631,106.9093
School,2,"$78,432.86",11/10/2019,Ethiopia,4.8949753,38.1001629
Restaurant,26,"$13,622.72",3/18/2019,Uganda,1.1016277,33.9303991
Hotel,6,"$8,452.64",11/13/2019,Ukraine,47.6668709,38.076284
Restaurant,15,"$39,212.23",5/2/2019,Vietnam,23.0029267,105.2545888
Restaurant,24,"$76,743.74",4/29/2019,Nigeria,6.9149319,3.664859
Hospital,6,"$93,284.88",3/13/2019,Poland,49.858677,18.9770856
Hospital,11,"$3,659.68",10/8/2019,Indonesia,-6.9852949,112.5766579
School,11,"$93,482.39",5/17/2019,Uzbekistan,37.2610694,67.3086236
Hotel,2,"$70,186.92",3/16/2019,South Africa,-27.6817666,27.2409361
Restaurant,10,"$21,698.92",8/19/2019,Indonesia,-7.1989224,107.9072626
School,15,"$58,406.52",11/17/2019,Uganda,0.3987229,32.4792744
Restaurant,7,"$6,479.71",8/21/2019,China,34.894093,106.836465
Hospital,29,"$3,261.36",9/28/2019,South Sudan,8.296968,30.1531568
Hospital,16,"$11,198.40",9/7/2019,Brazil,-7.2284727,-39.3121233
Hospital,24,"$81,846.54",3/11/2019,Czech Republic,49.718789,17.0837083
Restaurant,21,"$33,587.83",8/13/2019,Japan,36.6493964,139.8816085
School,9,"$74,406.44",11/15/2019,Indonesia,-6.6591023,106.2931013
Hospital,29,"$64,951.52",1/1/2019,Panama,8.5974312,-80.1791368
Hospital,15,"$78,812.19",12/5/2019,Macedonia,41.027474,21.335741
Hotel,28,"$25,807.15",10/18/2019,Indonesia,-7.8111719,110.3979074
