POI,Participants,Money,Date,Country,lat,lng
Gas Station,25,"$83,144.92",10/17/2019,Indonesia,-8.0088871,111.9030636
Gas Station,17,"$71,509.70",4/11/2019,Brazil,-16.7073638,-47.5275422
Grocery Store,30,"$19,450.28",12/1/2019,Brazil,-19.9030544,-44.1170051
Bank,24,"$33,977.50",1/15/2019,Yemen,13.8138823,44.161347
Bar,5,"$44,662.43",10/25/2019,Belarus,52.5645365,30.8769586
Bar,26,"$76,476.90",5/8/2019,Russia,48.2751888,40.1995439
Bank,19,"$55,609.89",6/19/2019,China,26.647661,106.630153
Bar,12,"$14,249.24",9/1/2019,Kazakhstan,49.4580118,57.4206897
Grocery Store,22,"$50,292.66",6/5/2019,Sudan,14.024307,35.3685679
Gas Station,30,"$35,825.41",5/11/2019,Portugal,38.579965,-28.618829
Bar,23,"$46,669.38",4/22/2019,Indonesia,-6.9736661,110.4180162
Gas Station,13,"$89,491.39",7/3/2019,Brazil,-5.7966464,-35.2370177
Bar,10,"$15,416.78",1/23/2019,Bangladesh,22.1960179,92.2947639
Gas Station,22,"$62,305.00",5/7/2019,Vietnam,22.6308357,104.9564084
Gas Station,7,"$94,375.33",1/27/2019,China,34.2582539,117.1884772
Gas Station,29,"$50,127.75",4/6/2019,China,25.526986,112.615815
Bank,9,"$60,474.16",9/25/2019,Sweden,59.4527156,18.091186
Grocery Store,19,"$8,924.52",7/30/2019,Indonesia,-8.2012757,112.1012912
Gas Station,19,"$75,547.05",12/4/2019,Russia,52.5666667,78.9472223
Gas Station,2,"$60,054.93",2/20/2019,Thailand,6.647477,101.2353772
Bar,27,"$16,497.63",12/10/2019,Hungary,47.5202786,17.5142121
Gas Station,16,"$94,024.22",2/12/2019,Malawi,-15.3765857,35.3356518
Bar,14,"$39,743.39",7/9/2019,Guyana,43.6422125,-79.3744257
Bank,25,"$23,863.15",3/22/2019,Belarus,52.3506,31.1121
Bar,5,"$60,627.59",6/13/2019,Indonesia,-6.939897,106.9506175
Gas Station,7,"$63,868.56",8/26/2019,Poland,53.5659675,15.28454
Grocery Store,1,"$13,895.68",1/2/2019,Canada,60.7610412,-135.1742264
Bank,15,"$68,032.85",11/21/2019,China,32.97771,98.09795
Bank,13,"$40,666.21",5/26/2019,China,39.538047,116.683752
Bank,27,"$84,702.51",6/19/2019,Guatemala,14.6214687,-90.8066537
Gas Station,2,"$70,264.50",9/24/2019,China,39.726929,116.341395
Bar,29,"$63,263.91",10/24/2019,Indonesia,-9.38948,119.75371
Grocery Store,20,"$38,910.73",8/27/2019,Liberia,5.0153677,-9.0377612
Gas Station,2,"$15,546.82",4/28/2019,Colombia,3.2572094,-77.2864879
Grocery Store,30,"$27,122.47",5/16/2019,China,30.940195,118.75868
Bar,5,"$90,357.52",1/31/2019,China,31.223427,121.455964
Grocery Store,26,"$57,561.56",6/18/2019,China,28.420801,120.075461
Grocery Store,23,"$70,988.22",9/8/2019,Indonesia,-8.7261,116.4644
Grocery Store,11,"$98,761.62",5/3/2019,Canada,46.0382659,-72.0118164
Grocery Store,29,"$50,841.39",11/19/2019,Morocco,32.901093,-6.7761686
Gas Station,22,"$33,797.06",1/9/2019,Sweden,59.2691081,17.8651957
Bar,28,"$99,763.66",5/15/2019,Indonesia,3.9967196,97.3416152
Bank,8,"$67,190.65",8/11/2019,China,26.694208,115.939083
Bar,24,"$23,546.36",12/19/2019,China,22.358169,113.440958
Bank,8,"$36,740.79",8/4/2019,Brazil,-12.5896471,-43.0971625
Grocery Store,10,"$85,907.86",2/6/2019,Slovenia,46.8289256,16.3268491
Bank,18,"$5,077.10",1/21/2019,Philippines,7.2772133,124.4239533
Bank,27,"$71,448.92",4/7/2019,Czech Republic,49.6579309,18.7059561
Bank,22,"$29,701.10",11/14/2019,China,28.650072,121.261886
Bank,9,"$78,445.64",9/20/2019,Brazil,-7.0787824,-35.5876697
Gas Station,6,"$25,741.19",10/12/2019,China,34.329605,108.708991
Bank,28,"$15,762.85",3/21/2019,Liberia,8.4201951,-9.7539282
Gas Station,3,"$1,842.95",7/18/2019,Brazil,-10.5224941,-36.6525696
Bar,14,"$10,622.93",2/8/2019,Botswana,-24.42787,26.023656
Bar,1,"$84,482.23",7/1/2019,Bosnia and Herzegovina,44.666926,19.2469148
Gas Station,10,"$24,273.95",7/16/2019,France,47.8417718,-0.3419882
Grocery Store,9,"$19,822.98",9/28/2019,Russia,53.0641593,38.0521393
Bank,15,"$37,388.06",10/2/2019,Indonesia,-7.7830972,112.3188749
Gas Station,24,"$85,022.87",3/12/2019,United States,41.56,-73.05
Bank,9,"$85,999.48",4/22/2019,China,35.3158333,80.9158333
Bank,5,"$94,737.28",9/17/2019,Armenia,40.8318278,44.2797884
Gas Station,17,"$40,514.22",8/18/2019,China,30.334768,106.93038
Gas Station,20,"$36,481.30",12/23/2019,China,22.512308,110.079171
Bar,19,"$40,485.89",2/27/2019,Palestinian Territory,32.1426,35.28774
Bar,12,"$1,865.98",12/27/2019,Malaysia,6.1097207,102.2462087
Gas Station,26,"$52,982.71",1/4/2019,Indonesia,-6.9379894,107.5740101
Gas Station,14,"$10,964.30",2/6/2019,Ireland,53.2780047,-6.1072403
Grocery Store,1,"$78,133.43",1/21/2019,Russia,56.1244362,93.3598524
Grocery Store,6,"$57,292.06",3/19/2019,Canada,45.7249153,-73.4913241
Bank,12,"$92,448.66",1/5/2019,Poland,54.652617,18.4293828
Grocery Store,29,"$25,049.17",1/21/2019,New Zealand,-39.644114,176.7958307
Bar,19,"$28,075.71",11/2/2019,Colombia,2.2763077,-78.5887951
Gas Station,4,"$44,751.02",10/21/2019,China,28.429025,109.500848
Bank,21,"$13,797.12",2/22/2019,Cameroon,6.5163966,14.2919273
Bar,25,$577.15,6/29/2019,Russia,52.53255,103.8923786
Gas Station,10,"$29,613.72",12/3/2019,Brazil,-22.3880391,-44.9669685
Bank,26,"$11,944.01",1/4/2019,China,39.3433574,117.3616476
Gas Station,12,"$75,735.97",5/5/2019,China,32.748143,111.183426
Grocery Store,16,"$62,204.94",11/6/2019,Turkmenistan,41.8639083,59.6326482
Gas Station,7,"$34,072.06",5/28/2019,Canada,54.7769326,-101.8448368
Bar,9,"$81,016.73",11/18/2019,Greece,35.2086503,26.1052329
Gas Station,29,"$8,882.98",3/17/2019,United Kingdom,51.1372058,1.2986666
Grocery Store,15,"$69,313.96",7/1/2019,Ukraine,50.5837638,34.4904643
Gas Station,13,"$79,798.20",9/2/2019,Japan,35.4035493,140.3449585
Bank,7,"$54,186.51",4/4/2019,United States,38.9475624,-77.3295728
Grocery Store,5,"$47,594.09",12/25/2019,Indonesia,-8.3031696,112.1132142
Bank,17,"$83,480.49",11/17/2019,Denmark,55.6649287,12.5504728
Bank,3,"$70,379.44",12/15/2019,Bulgaria,42.1309737,24.9390156
Bar,25,"$33,040.52",8/27/2019,Indonesia,-6.9484206,110.2579036
Bank,29,"$23,661.55",9/28/2019,China,46.64635,131.158416
Grocery Store,6,"$31,715.09",1/23/2019,Nicaragua,11.8334463,-86.1662742
Bank,11,"$60,474.05",11/3/2019,Sweden,58.4755075,13.8583744
Bar,21,"$29,699.78",8/22/2019,Indonesia,-2.2027147,115.2778317
Gas Station,8,"$26,909.10",9/1/2019,Indonesia,-7.7788197,113.7692328
Grocery Store,4,"$2,187.94",1/5/2019,United States,33.723039,-84.3436881
Bank,10,"$44,576.94",5/17/2019,Ukraine,51.5363109,24.8942909
Gas Station,22,"$84,996.68",10/30/2019,Poland,51.8433045,15.6903444
Gas Station,29,"$63,102.60",4/6/2019,Vietnam,11.5705176,107.5268471
Grocery Store,2,"$25,396.83",6/16/2019,Indonesia,-7.2425008,112.7524553
Grocery Store,6,"$66,656.24",2/20/2019,Finland,61.7904399,29.3146856
Bar,12,"$51,071.22",12/13/2019,Nigeria,9.616419,11.43472
Bar,17,"$67,996.94",5/13/2019,Portugal,39.3616253,-9.1576429
Bank,8,"$7,768.87",7/19/2019,Madagascar,-18.7,47.783333
Bar,29,"$66,230.47",7/1/2019,Russia,61.0962323,28.8780526
Bank,21,"$16,106.71",11/21/2019,Venezuela,8.5681393,-70.3583879
Bank,27,"$71,217.98",12/1/2019,Philippines,7.1889377,124.6303406
Gas Station,1,"$37,459.25",4/23/2019,Madagascar,-21.266667,46.983333
Grocery Store,21,"$97,813.22",10/12/2019,Guatemala,14.9269532,-89.7161012
Grocery Store,29,"$46,070.37",1/19/2019,China,22.843818,114.164223
Bar,7,"$60,314.48",1/22/2019,Portugal,40.0039328,-8.5808436
Bar,24,"$38,647.20",10/31/2019,Philippines,6.8928179,125.1635402
Grocery Store,30,"$49,800.55",11/13/2019,China,25.461545,118.31969
Bank,25,"$44,820.98",12/4/2019,Bangladesh,22.3348365,91.8365195
Grocery Store,16,"$56,802.92",11/28/2019,Russia,55.6761482,37.6032435
Grocery Store,10,"$5,946.78",1/30/2019,Indonesia,-7.5651443,112.239892
Bar,9,"$74,330.55",8/19/2019,Mexico,17.9567646,-102.1943485
Grocery Store,30,"$90,241.77",5/2/2019,Albania,40.7295095,19.7859556
Grocery Store,9,"$6,966.47",2/21/2019,France,43.3032794,5.380142
Bank,6,"$72,394.63",11/27/2019,Honduras,15.081635,-86.4174653
Gas Station,2,"$82,059.72",11/24/2019,Democratic Republic of the Congo,-9.1522423,25.8285153
Bar,12,"$14,241.22",5/29/2019,China,36.39141,116.632262
Bank,7,"$78,670.03",8/1/2019,Russia,47.3695152,40.0905465
Grocery Store,2,"$94,856.02",9/13/2019,Canada,48.94153,-125.54635
Gas Station,20,"$36,746.86",10/5/2019,China,33.722478,118.703424
Gas Station,11,"$11,147.60",9/14/2019,Indonesia,-6.86277,109.6222698
Gas Station,3,"$12,825.42",1/25/2019,Serbia,44.6208353,21.1842054
Bank,27,"$85,042.11",2/12/2019,Brazil,-21.7034017,-47.27079
Bar,8,"$85,185.50",8/1/2019,Sweden,59.2423602,14.4352781
Grocery Store,17,"$72,900.56",12/11/2019,China,35.995654,119.410103
Bank,27,"$85,692.50",9/10/2019,Philippines,6.4946003,124.1086807
Bank,27,"$9,846.62",4/20/2019,Ukraine,46.36313,30.64891
Bank,18,"$29,702.91",12/19/2019,France,43.834535,5.0436629
Bar,17,"$40,737.59",9/13/2019,China,39.9391612,116.4578203
Grocery Store,28,"$98,104.98",7/12/2019,Ukraine,49.554701,32.0981669
Gas Station,20,"$9,173.79",10/2/2019,United States,40.3208847,-76.8836261
Bar,18,"$58,389.34",5/7/2019,Brazil,-14.1500098,-43.2521507
Bar,16,"$40,305.03",10/31/2019,United States,39.7503186,-104.8367063
Grocery Store,26,"$38,211.38",1/13/2019,Iran,27.2087957,53.0405196
Bank,12,"$57,249.82",1/26/2019,China,28.190756,113.038578
Bar,7,"$94,166.93",11/17/2019,Malawi,-13.0356794,33.4719832
Gas Station,3,"$23,707.12",10/2/2019,North Korea,41.4564504,126.6441618
Grocery Store,30,"$51,388.96",2/20/2019,Portugal,39.7887592,-8.0603988
Bar,19,"$48,352.57",2/24/2019,China,25.890008,119.585442
Bar,19,"$90,151.57",2/3/2019,Luxembourg,49.540933,6.2596019
Bar,11,"$9,995.18",5/12/2019,Haiti,19.0487026,-72.4701945
Gas Station,29,"$18,288.86",6/9/2019,Norway,64.012788,11.487163
Bar,20,"$86,509.15",2/26/2019,Nigeria,11.5291917,8.6573084
Bank,28,"$13,077.01",1/17/2019,China,25.504173,101.241728
Bank,11,"$37,567.07",5/31/2019,China,22.34414,113.604417
Bar,7,"$36,589.38",12/17/2019,Indonesia,-8.3739,124.4172
Bank,28,"$45,434.28",12/24/2019,United States,47.1427431,-122.4407344
Gas Station,16,"$24,216.74",7/18/2019,France,48.7700185,2.3508225
Bank,30,"$58,185.24",1/17/2019,Uganda,0.22216,33.20608
Grocery Store,12,"$75,675.00",2/21/2019,China,32.990664,112.528308
Grocery Store,16,"$28,562.39",2/13/2019,Nigeria,9.1482421,9.7985457
Bank,8,"$31,578.72",9/8/2019,Indonesia,-8.5705,116.498
Grocery Store,25,"$37,949.63",2/1/2019,Peru,-11.82198,-75.730667
Bar,30,"$20,049.11",7/10/2019,Indonesia,-6.9580488,107.5847246
Bar,8,"$72,640.31",2/12/2019,Madagascar,-21.3032134,47.6381357
Bar,15,"$44,845.09",6/19/2019,Vietnam,13.7399629,108.0954351
Gas Station,11,"$21,079.79",6/19/2019,Indonesia,-8.5437713,120.6749301
Gas Station,30,"$90,133.62",7/1/2019,Mexico,18.1096868,-95.8803869
Bank,13,"$46,118.52",5/20/2019,Russia,55.813957,37.626119
Grocery Store,25,"$50,494.51",3/24/2019,Mexico,19.3803931,-99.1476908
Bank,9,"$91,486.81",1/23/2019,China,35.00394,104.634983
Gas Station,3,"$84,973.71",9/1/2019,China,28.841244,108.767747
Bar,25,"$44,022.21",12/8/2019,China,39.948572,116.420192
Bar,5,"$72,904.97",10/26/2019,Philippines,12.2200003,123.4869995
Bar,29,"$11,860.77",7/23/2019,Yemen,15.552727,48.516388
Grocery Store,18,"$18,113.49",7/20/2019,Norway,61.126827,10.4388999
Bank,26,"$18,671.63",5/20/2019,San Marino,43.9078337,12.4581209
Gas Station,28,"$93,893.37",11/11/2019,Indonesia,-6.5115909,105.652983
Bar,1,"$45,910.81",8/25/2019,Haiti,19.0487026,-72.4701945
Bar,3,"$54,621.31",7/9/2019,Peru,-15.7725451,-69.6840125
Grocery Store,3,"$82,117.46",11/17/2019,Greece,39.3046388,23.2207655
Grocery Store,15,"$13,866.13",1/18/2019,China,39.909969,116.459299
Grocery Store,21,"$48,437.39",12/24/2019,Indonesia,-6.6760058,111.0102737
Grocery Store,22,"$83,960.69",12/1/2019,Poland,51.2250373,22.7850797
Grocery Store,21,"$87,476.35",5/15/2019,China,30.5211502,112.8915932
Bar,14,"$14,354.19",3/22/2019,Russia,55.921585,158.709579
Gas Station,30,"$66,125.16",12/28/2019,China,37.399373,110.691139
Bar,9,"$18,853.17",6/27/2019,Mexico,32.4937455,-116.9552547
Bank,19,"$33,702.51",9/1/2019,Russia,55.706586,37.5186129
Gas Station,6,"$44,326.97",12/11/2019,Philippines,8.2511483,124.8514628
Gas Station,9,"$79,032.69",7/20/2019,China,31.938731,113.165197
Bar,30,"$22,108.22",5/12/2019,Russia,52.7569427,55.8011374
Bar,15,"$86,844.96",4/30/2019,Thailand,14.6640154,102.7939759
Gas Station,26,"$29,029.16",9/13/2019,Albania,41.9164917,20.2862003
Bar,20,"$94,329.16",5/10/2019,China,30.741991,121.341969
Gas Station,16,"$53,412.48",7/20/2019,Philippines,13.0730815,123.5982956
Grocery Store,17,"$57,102.64",4/5/2019,Peru,-7.6209569,-78.0452217
Bank,10,"$60,167.02",12/29/2019,Dominican Republic,19.1168606,-70.6097821
Gas Station,3,"$37,642.29",12/15/2019,Slovenia,46.68518,16.3936719
Grocery Store,26,"$93,746.47",11/3/2019,Brazil,-25.7691769,-49.718244
Bar,10,"$3,597.06",5/1/2019,Indonesia,-6.2614858,106.4052541
Bank,9,"$82,466.03",1/13/2019,Peru,-8.081766,-78.0883695
Bar,21,"$75,349.79",5/9/2019,Croatia,46.4054155,16.4201451
Bar,4,"$30,295.84",1/5/2019,Estonia,58.3776252,26.7290062
Bank,14,"$98,032.95",10/5/2019,China,41.57365,120.4493879
Grocery Store,8,"$65,798.73",10/13/2019,Honduras,14.6628087,-87.7787929
Gas Station,13,"$91,016.78",12/24/2019,China,28.407117,117.596452
Bar,4,"$33,512.72",7/8/2019,Poland,51.31653,16.2304569
Bar,20,"$52,000.57",7/25/2019,Indonesia,-6.9174639,107.6191228
Bank,19,"$68,967.05",1/21/2019,Cyprus,35.3237104,33.3149413
Grocery Store,25,"$82,419.31",6/10/2019,Ireland,53.9735591,-8.2969737
Gas Station,23,"$45,576.50",12/8/2019,Ukraine,49.7937517,25.3739849
Bar,23,"$58,882.43",2/5/2019,Poland,49.642816,21.660458
Bank,20,"$76,774.87",5/5/2019,Sweden,61.00862,14.57173
Gas Station,26,"$33,933.14",11/22/2019,Indonesia,-7.8100327,110.3592495
Grocery Store,8,"$9,609.55",2/25/2019,Poland,50.0398933,19.7289065
Grocery Store,3,"$64,033.14",4/14/2019,China,30.3039275,120.3376132
Gas Station,23,"$2,578.34",9/20/2019,Colombia,5.082453,-73.365046
Gas Station,14,"$65,761.61",3/8/2019,China,31.254198,94.915316
Grocery Store,26,"$37,014.46",1/15/2019,Russia,60.4563994,50.9907161
Gas Station,7,"$90,633.00",9/21/2019,Sweden,58.2816546,11.4679865
Grocery Store,21,"$3,608.84",10/29/2019,China,29.00707,114.246016
Grocery Store,27,"$50,742.81",9/18/2019,Honduras,15.016667,-85.75
Bank,22,"$78,022.40",4/4/2019,France,45.4381658,4.3868779
Grocery Store,11,"$6,395.32",1/21/2019,Russia,45.2981711,41.5285717
Gas Station,27,"$9,092.66",7/27/2019,Czech Republic,49.2914367,16.5787482
Grocery Store,23,"$58,345.02",12/5/2019,Yemen,13.0578415,44.8832833
Bar,4,"$32,493.70",3/10/2019,Iraq,31.0452345,46.2665911
Bank,2,"$98,380.85",8/7/2019,Indonesia,-7.1569,108.0375
Gas Station,18,"$71,844.13",9/17/2019,Luxembourg,49.5376953,6.1470475
Grocery Store,8,"$71,855.77",11/8/2019,Philippines,11.1449142,124.8326192
Grocery Store,30,"$87,066.30",8/31/2019,France,48.7471816,2.3572729
Bank,26,"$4,049.79",9/25/2019,Philippines,9.8411782,123.9121342
Gas Station,6,"$39,301.04",10/1/2019,China,40.401045,117.998902
Bar,19,"$11,786.12",9/12/2019,Sweden,57.7314074,12.0595845
Gas Station,28,"$66,312.58",3/13/2019,Philippines,10.0698222,124.5514906
Gas Station,4,"$14,097.76",11/5/2019,Sweden,57.5260245,13.3426293
Bar,2,"$86,197.39",1/30/2019,China,27.318852,115.444319
Bank,5,"$11,569.17",10/5/2019,Sierra Leone,8.1087597,-11.8478324
Bar,29,"$13,292.61",10/16/2019,Russia,54.0518227,35.229882
Bar,1,"$83,087.97",5/27/2019,Indonesia,-8.1878613,112.6407229
Gas Station,2,"$39,262.38",11/1/2019,Japan,36.8079089,139.9200321
Grocery Store,10,"$12,301.20",1/5/2019,Latvia,57.331693,25.6100339
Grocery Store,13,"$98,674.89",1/17/2019,Russia,63.2803099,118.3618985
Grocery Store,17,"$24,243.02",2/18/2019,Portugal,39.60178,-8.968457
Grocery Store,3,"$68,081.35",8/3/2019,China,22.278214,114.182575
Gas Station,22,"$92,858.84",8/5/2019,Albania,40.533557,19.5954894
Bar,10,"$2,428.90",3/24/2019,Indonesia,-6.3079232,107.172085
Bar,12,"$60,140.00",1/8/2019,Sweden,59.8505671,17.6418492
Grocery Store,25,"$32,273.54",1/23/2019,Indonesia,-6.9175575,111.5140386
Grocery Store,15,"$75,989.25",7/13/2019,Philippines,10.9423,124.6806
Bar,7,"$99,088.50",10/5/2019,Portugal,40.1422779,-7.6602365
Bank,29,"$54,653.33",2/11/2019,China,21.270702,110.359368
Bank,30,"$21,691.90",6/15/2019,Cambodia,12.90616,105.2194808
Grocery Store,3,"$25,065.69",4/15/2019,Indonesia,-6.5978669,106.635025
Grocery Store,23,"$99,396.13",4/20/2019,China,37.646108,120.477813
Bank,6,"$15,026.15",10/4/2019,China,28.098056,101.579377
Bank,3,"$11,470.24",3/20/2019,Brazil,-21.2484875,-45.0013747
Gas Station,8,"$31,310.74",8/21/2019,United States,29.82,-95.29
Gas Station,21,"$8,933.14",8/2/2019,Indonesia,1.5245894,110.3127541
Bank,22,"$5,608.46",12/12/2019,China,37.520481,115.251124
Gas Station,5,"$75,198.53",12/25/2019,Indonesia,-7.0345626,107.9836107
Grocery Store,24,"$99,706.94",10/31/2019,Nepal,28.7746477,83.7730237
Grocery Store,19,"$58,164.71",6/7/2019,Brazil,-10.5086496,-37.4467952
Grocery Store,2,"$66,124.59",9/19/2019,China,36.067108,120.382609
Bar,21,"$90,755.57",2/3/2019,Poland,52.3956594,19.1739321
Grocery Store,5,"$62,197.65",5/28/2019,France,45.70734,5.534063
Bank,28,"$12,787.88",9/19/2019,Panama,8.8729633,-82.5834947
Gas Station,2,"$90,017.28",3/3/2019,Sweden,57.731461,12.0599176
Gas Station,14,"$95,854.14",7/22/2019,China,27.69965,108.839557
Gas Station,30,"$80,415.98",5/18/2019,Japan,34.7326539,137.7446478
Grocery Store,29,"$54,824.15",9/15/2019,Ukraine,50.8310469,34.9528373
Grocery Store,28,"$60,366.31",5/24/2019,France,48.840109,2.586253
Bar,3,"$10,484.88",12/24/2019,Moldova,47.7437283,27.9542722
Bank,17,"$50,996.86",10/31/2019,Guinea-Bissau,11.3410027,-14.935965
Bar,5,"$71,657.53",2/9/2019,Russia,54.152383,33.2878545
Bar,7,"$6,535.44",10/8/2019,China,36.320344,113.536047
Bar,13,"$24,704.25",8/11/2019,Madagascar,-22.1432288,48.0059825
Grocery Store,7,"$43,991.39",5/26/2019,China,41.666028,122.1234429
Grocery Store,27,"$9,994.41",4/11/2019,China,34.326903,108.117456
Bank,30,"$38,997.89",4/7/2019,Honduras,14.913868,-87.26432
Grocery Store,9,"$41,238.54",7/9/2019,Indonesia,-6.212159,106.510583
Bank,2,"$68,605.41",9/6/2019,Canada,54.78036,-127.17428
Grocery Store,18,"$95,900.30",4/14/2019,Armenia,39.8319349,44.6635181
Gas Station,9,"$37,812.15",6/10/2019,Costa Rica,9.829638,-85.325961
Gas Station,2,"$43,134.02",10/1/2019,Philippines,13.9192331,121.4256292
Bank,25,"$82,082.86",7/8/2019,China,34.379742,117.788836
Bar,8,"$67,451.89",9/26/2019,Russia,56.232836,43.8367278
Grocery Store,9,$903.33,12/25/2019,Iraq,33.85,44.233333
Bank,8,"$64,480.10",1/6/2019,Venezuela,10.4132061,-66.8052202
Bar,11,"$17,734.65",2/18/2019,Indonesia,-6.183459,106.7647475
Gas Station,8,"$1,235.62",3/6/2019,Russia,44.2551686,135.0572606
Grocery Store,5,"$55,450.14",6/17/2019,Portugal,39.3297421,-8.3745717
Bar,28,"$7,061.57",7/11/2019,Portugal,42.038041,-8.324549
Gas Station,19,"$14,112.75",4/1/2019,Poland,51.7930978,23.528792
Gas Station,26,"$72,247.18",7/22/2019,China,28.46763,119.922796
Bank,21,"$93,893.82",4/7/2019,France,50.7308185,1.5948224
Bar,13,"$40,369.99",5/24/2019,Argentina,-34.6824081,-58.5146668
Gas Station,25,"$4,071.14",6/11/2019,China,23.170455,114.419667
Grocery Store,26,"$27,464.09",10/4/2019,Mozambique,-16.2162656,39.914466
Bank,7,"$92,632.59",1/18/2019,Japan,38.0285839,139.9928186
Bar,15,"$77,216.98",8/17/2019,Albania,40.5963905,19.7383332
Bar,16,"$70,254.06",9/2/2019,China,37.775349,117.385256
Grocery Store,20,"$65,166.10",6/19/2019,Ghana,7.1796355,-2.1008486
Grocery Store,30,"$75,155.78",12/3/2019,Russia,63.4529778,48.8833546
Grocery Store,4,"$48,634.33",4/2/2019,Argentina,-32.968211,-60.6752261
Grocery Store,5,"$23,034.57",9/19/2019,Russia,52.0715558,103.8262447
Grocery Store,9,"$73,627.94",8/13/2019,China,39.9474817,116.4689261
Grocery Store,3,"$84,424.07",3/27/2019,Slovenia,46.3621517,14.3083372
Grocery Store,23,"$55,473.51",6/22/2019,Indonesia,-7.5989183,110.1317822
Gas Station,9,"$56,150.52",7/30/2019,Canada,53.1762084,-105.7514651
Bar,30,"$99,069.75",5/31/2019,Ireland,53.377533,-6.2633149
Grocery Store,22,"$25,780.60",8/26/2019,China,23.992676,115.703598
Gas Station,12,"$3,369.03",5/17/2019,Russia,69.4326713,30.8274819
Gas Station,6,"$98,969.45",4/25/2019,Indonesia,-8.2484009,111.8151245
Bank,21,"$57,952.51",8/14/2019,Poland,53.768384,17.2264899
Bar,5,"$58,358.13",1/22/2019,Russia,53.701556,91.680719
Grocery Store,27,"$48,935.83",5/31/2019,Indonesia,-6.8510505,108.0806141
Bar,24,"$99,809.03",8/25/2019,Denmark,55.6777952,12.5751597
Gas Station,1,$820.05,12/8/2019,Argentina,-38.7589114,-62.2749967
Bar,25,"$71,707.60",3/31/2019,Poland,51.9038827,23.1771438
Bar,4,"$84,428.51",4/23/2019,China,27.910242,103.519862
Grocery Store,5,"$51,003.60",3/17/2019,Guatemala,14.4184896,-90.2440545
Grocery Store,21,"$38,029.35",11/24/2019,China,32.434672,119.569989
Grocery Store,9,"$17,387.11",2/18/2019,China,29.714699,118.337521
Bar,27,"$55,626.74",1/15/2019,Philippines,7.0583573,125.7222954
Bar,28,"$43,673.47",7/4/2019,Japan,34.7326539,137.7446478
Gas Station,21,"$58,334.10",11/2/2019,Indonesia,-7.0110378,110.3919493
Grocery Store,1,"$8,823.48",11/29/2019,Canada,48.7925732,-79.201011
